Brett Lee,7.87,32.57
Parvinder Awana,7.91,16.59
Kieron Pollard,7.99,16.44
Dhawal Kulkarni,8,8
Doug Bracewell,8,8
Ryan ten Doeschate,8,18
Dwayne Bravo,8.01,23.07
Amit Mishra,8.02,21.69
James Franklin,8.07,15
Pankaj Singh,8.1,18
Rahul Sharma,8.11,24.67
Shadab Jakati,8.17,27.33
Bhargav Bhatt,8.24,49.5
Rusty Theron,8.25,24
Yusuf Pathan,8.27,44
Harshal Patel,8.29,27.33
Ashish Nehra,8.38,26.18
Harmeet Singh,8.55,19.14
Clint McKay,8.57,42
Vinay Kumar,8.6,17.63
Manpreet Gony,8.62,48
Daniel Christian,8.63,20.25
Ankeet Chavan,8.64,23.43
Jean-Paul Duminy,8.67,72
Yo Mahesh,8.68,18.67
Prasanth Parameswaran,8.7,12
Veer Pratap Singh,8.71,20.4
KP Appanna,8.71,17
Ashish Reddy,8.72,14.82
Doug Bollinger,8.72,13.5
Varun Aaron,8.74,23.25
Robin Peterson,8.75,16
James Faulkner,9,16
Shikhar Dhawan,9.17,12
Anand Rajan,9.21,23.67
Ajit Agarkar,9.35,28.67
Amit Singh,9.44,19.7
Sourav Ganguly,9.5,30
Jesse Ryder,10,42
Andre Russell,10.06,96
Brad Hodge,10.5,12
Pradeep Sangwan,10.5,24
Marchant de Lange,10.7,20
TP Sudhindra,11.65,70
Adam Gilchrist,-,1
Anand Rajan,5.25,24
Bipul Sharma,5.25,24
Sunil Narine,5.47,17.45
Parvez Rasool,5.6,30
Dale Steyn,5.66,21.42
Shahbaz Nadeem,5.89,29.33
Vikramjeet Malik,5.9,30
Ajit Chandila,6.24,25
Amit Mishra,6.35,17.71
Bhargav Bhatt,6.4,30
Mohit Sharma,6.43,15.2
Abu Nechim,6.43,14
Roelof van der Merwe,6.45,22
Ajantha Mendis,6.5,36
Harbhajan Singh,6.51,17.5
Bhuvneshwar Kumar,6.51,26.31
Sachithra Senanayake,6.53,21.33
Karn Sharma,6.6,19
Johan Botha,6.6,20
Praveen Kumar,6.62,28.17
Albie Morkel,6.62,20.57
Ravichandran Ashwin,6.72,23.2
Stuart Binny,6.75,24
James Faulkner,6.76,13.54
Siddharth Trivedi,6.85,29.92
Rahul Sharma,6.85,27.33
Yuvraj Singh,6.91,22
Ravi Rampaul,6.93,17.38
Pawan Suyal,7,18
Shane Watson,7.15,19.23
Lasith Malinga,7.16,19.6
Mitchell Johnson,7.17,16
Piyush Chawla,7.17,31.82
Brett Lee,7.17,18
Jeevan Mendis,7.2,30
Nathan Coulter-Nile,7.25,24
Rishi Dhawan,7.27,45
Pragyan Ojha,7.28,19.62
Murali Kartik,7.28,26
Laxmi Shukla,7.33,18
Abhishek Nayar,7.38,24
Jacques Kallis,7.43,19.88
Irfan Pathan,7.44,30.8
Sandeep Sharma,7.44,12
Ravindra Jadeja,7.48,19.92
Tirumalsetti Suman,7.5,12
Darren Sammy,7.52,16.75
S Sreesanth,7.52,26
Azhar Mahmood,7.53,17.53
Iqbal Abdulla,7.54,16.14
Jaydev Unadkat,7.57,22.62
Rajat Bhatia,7.57,23.91
Parvinder Awana,7.63,21.6
Harmeet Singh,7.68,13.6
Muttiah Muralitharan,7.7,46
Lakshmipathy Balaji,7.74,25
Angelo Mathews,7.74,37.2
Siddarth Kaul,7.79,32.75
Ishant Sharma,7.81,23.87
Zaheer Khan,7.83,7.2
Dwayne Bravo,7.95,11.72
Dirk Nannes,7.97,29.75
Cameron White,8,12
Thisara Perera,8.01,18.84
Chris Morris,8.02,20
Dhawal Kulkarni,8.09,14
Vinay Kumar,8.19,15.7
Kevon Cooper,8.31,17.05
Morne Morkel,8.38,34.29
Jason Holder,8.4,60
RP Singh,8.41,18.38
Andrew McDonald,8.5,12
Harmeet Singh,8.5,24
Marlon Samuels,8.5,24
Kane Richardson,8.54,35.5
Moises Henriques,8.74,18.14
Ankit Rajpoot,8.75,24
Umesh Yadav,8.78,21.69
Ashish Nehra,8.78,19.64
Sarabjit Ladda,9,12
JS Mohammad,9.1,20
Munaf Patel,9.13,30
Manpreet Gony,9.14,24
Wayne Parnell,9.24,14.83
Abhimanyu Mithun,9.25,24
Ali Murtaza,9.4,20
Kieron Pollard,9.42,18.6
Mitchell Marsh,9.42,16.57
Ashok Dinda,9.49,18.38
Rahul Shukla,9.88,16
Chris Gayle,10,8
Jasprit Bumrah,10,14
Luke Wright,10.17,29.5
Ashish Reddy,10.49,13.33
Suresh Raina,11.5,12
Dwayne Smith,11.8,15
Aaron Finch,12.25,24
Ishwar Pandey,12.5,24
Ryan McLaren,13.43,14
Ankit Sharma,5.38,12
Axar Patel,6.14,23.29
Ravi Rampaul,6.17,36
Sunil Narine,6.36,18.29
Lasith Malinga,6.46,14.69
Harbhajan Singh,6.47,23.57
Praveen Kumar,6.5,24
Zaheer Khan,6.54,26.8
Rahul Tewatia,6.56,27
Bhuvneshwar Kumar,6.66,15.95
Shakib Al Hasan,6.68,27.27
Nathan Coulter-Nile,6.75,12
Samuel Badree,6.93,42
Ryan ten Doeschate,7,30
Yuzvendra Chahal,7.02,27.5
Stuart Binny,7.11,18
Pat Cummins,7.25,24
Pravin Tambe,7.27,19.6
Jean-Paul Duminy,7.27,66
Ravichandran Ashwin,7.3,22.44
Wayne Parnell,7.39,30.17
Karn Sharma,7.42,20.27
Kevon Cooper,7.44,27
Suresh Raina,7.44,108
Rajat Bhatia,7.45,19
Mitchell Starc,7.49,23
Shivam Sharma,7.56,32
Ishwar Pandey,7.57,42
Jasprit Bumrah,7.59,47.6
Kane Richardson,7.63,18
Morne Morkel,7.65,24
Piyush Chawla,7.67,16.93
Dale Steyn,7.7,30.55
Rishi Dhawan,7.71,21.85
Muttiah Muralitharan,7.75,32
Ben Cutting,7.75,24
Shane Watson,7.86,18
Albie Morkel,7.88,24
Abu Nechim,7.89,28.67
Marchant de Lange,8,12
Shreyas Gopal,8.07,14
Ravindra Jadeja,8.15,17.16
Varun Aaron,8.15,13.75
Umesh Yadav,8.16,24.55
Shahbaz Nadeem,8.18,28.5
Dhawal Kulkarni,8.19,27
Karanveer Singh,8.2,10.91
Imran Tahir,8.21,13.89
Yuvraj Singh,8.25,27.2
Pragyan Ojha,8.26,69
Mitchell Johnson,8.3,18.88
Mohammed Shami,8.39,37.71
Mohit Sharma,8.4,14.04
Jacques Kallis,8.45,33
Jaydev Unadkat,8.66,20.78
Irfan Pathan,8.66,35.5
Rohit Sharma,8.67,18
Ashok Dinda,8.71,37.2
Vinay Kumar,8.78,27.43
Ben Hilfenhaus,8.79,21
Sandeep Sharma,8.81,13.39
Lakshmipathy Balaji,8.82,17
Laxmi Shukla,8.9,56
Amit Mishra,9.07,32.14
Ishant Sharma,9.18,22
Parvez Rasool,9.22,54
Ashish Nehra,9.47,11.25
Dwayne Smith,9.5,15
Moises Henriques,9.6,15
Vikramjeet Malik,9.67,18
John Hastings,9.67,18
Siddarth Kaul,9.69,39
James Faulkner,9.74,23.45
James Neesham,10.11,54
Corey Anderson,10.22,27
Harshal Patel,10.27,16.5
Andre Russell,10.4,30
Parvinder Awana,10.43,20.14
Kieron Pollard,10.48,75
Beuran Hendricks,10.5,18
Rahul Sharma,10.83,36
Rahul Shukla,10.89,27
Darren Sammy,11.21,28
Krishmar Santokie,11.25,16
Lendl Simmons,11.33,18
Murali Kartik,11.38,48
Jason Holder,11.67,18
Pawan Suyal,11.67,18
Glenn Maxwell,12,66
David Hussey,13.43,8.5
Jayant Yadav,4.14,21
Ravichandran Ashwin,5.85,23.4
Parvez Rasool,6.2,30
Moises Henriques,6.32,13.64
Zaheer Khan,6.45,20.71
Mitchell Starc,6.77,12.9
Brad Hogg,6.86,14
Sandeep Sharma,7,23.08
Bipul Sharma,7.14,14
Ishwar Pandey,7.19,16.91
Domnic Joseph,7.21,21
Ashish Nehra,7.24,16.91
Sunil Narine,7.31,27.43
Sreenath Aravind,7.33,13.5
Gurkeerat Singh Mann,7.33,18
Morne Morkel,7.36,16.8
Stuart Binny,7.37,28.5
Lasith Malinga,7.4,15
Chris Morris,7.4,19.38
Jean-Paul Duminy,7.41,12.75
Harshal Patel,7.48,15.47
Nathan Coulter-Nile,7.55,17
Piyush Chawla,7.69,19.09
Amit Mishra,7.72,26.78
Ravindra Jadeja,7.73,23.27
Suresh Raina,7.75,36
Harbhajan Singh,7.82,19
Pravin Tambe,7.82,29.14
Bhuvneshwar Kumar,7.88,17.22
Iqbal Abdulla,7.89,28.5
Dhawal Kulkarni,7.91,16.15
Andre Russell,7.97,17.43
Ravi Bopara,8,20
Yuvraj Singh,8,54
Johan Botha,8.1,60
Dwayne Bravo,8.14,12.08
Ankit Sharma,8.14,28
Angelo Mathews,8.2,25.71
Mitchell McClenaghan,8.21,15.67
Corey Anderson,8.25,24
Ashish Reddy,8.33,12
David Wiese,8.34,15.88
Karn Sharma,8.34,23.9
Beuran Hendricks,8.38,15.6
Axar Patel,8.4,21.54
Pawan Negi,8.4,30
Trent Boult,8.43,18.67
Mohit Sharma,8.44,24.43
Vinay Kumar,8.46,37.29
Deepak Hooda,8.5,91
Dwayne Smith,8.5,12
Jagadeesha Suchith,8.64,23.4
Shakib Al Hasan,8.79,21
Tim Southee,8.82,28
Imran Tahir,8.85,14.2
Yuzvendra Chahal,8.86,12.22
Dale Steyn,8.95,38
Anureet Singh,9,20.67
Albie Morkel,9.08,24
Umesh Yadav,9.1,25.2
Praveen Kumar,9.14,30.86
Rishi Dhawan,9.17,72
Thisara Perera,9.17,36
Shane Watson,9.28,29
Mitchell Johnson,9.41,23.89
James Faulkner,9.47,33.75
Kieron Pollard,9.47,25.33
Glenn Maxwell,9.7,30
Yusuf Pathan,9.7,30
Pat Cummins,9.7,60
Rusty Theron,10,24
Varun Aaron,10.21,34.67
Gurinder Sandhu,10.25,48
Rahul Tewatia,10.33,18
Hardik Pandya,10.35,102
Shreyas Gopal,10.6,13
Abu Nechim,10.67,72
Ronit More,10.81,35
Karanveer Singh,11.21,84
Ishant Sharma,11.36,84
Jasprit Bumrah,12.27,30
Shardul Thakur,12.67,18
KC Cariappa,14,12
Shivam Sharma,14.67,18
Sachin Baby,4.79,5
Mitchell Marsh,5,13.5
Yusuf Pathan,5.5,36
John Hastings,5.55,20
Chris Gayle,6.3,30
Adam Zampa,6.76,8.5
Mustafizur Rahman,6.9,21.53
Chris Morris,7,20.31
Vinay Kumar,7.11,18
Sunil Narine,7.12,23.27
Ben Cutting,7.16,13.4
Rajat Bhatia,7.18,34
Ravichandran Ashwin,7.25,26.4
Sandeep Sharma,7.32,20
Jayant Yadav,7.35,51
Sreenath Aravind,7.4,15.91
Bhuvneshwar Kumar,7.42,17.22
